2023-12-04 14:12:58,926 p=14870 u=esi n=ansible | PLAY [wordpress deployment] *************************************************************************************************************************************************
2023-12-04 14:14:47,665 p=14870 u=esi n=ansible | TASK [role-1-setup-mariadb : Docker Compose up] *****************************************************************************************************************************
2023-12-04 14:15:00,286 p=14870 u=esi n=ansible | changed: [host-2]
2023-12-04 14:15:00,300 p=14870 u=esi n=ansible | TASK [role-2-setup-proxysql : Copy docker-compose File] *********************************************************************************************************************
2023-12-04 14:15:11,467 p=14870 u=esi n=ansible | changed: [host-2]
2023-12-04 14:15:11,475 p=14870 u=esi n=ansible | TASK [role-2-setup-proxysql : Docker Compose up] ****************************************************************************************************************************
2023-12-04 14:15:24,416 p=14870 u=esi n=ansible | changed: [host-2]
2023-12-04 14:15:24,434 p=14870 u=esi n=ansible | TASK [role-3-setup-wordpress : Copy docker-compose File] ********************************************************************************************************************
2023-12-04 14:15:33,589 p=14870 u=esi n=ansible | changed: [host-2]
2023-12-04 14:15:33,596 p=14870 u=esi n=ansible | TASK [role-3-setup-wordpress : Docker Compose up] ***************************************************************************************************************************
2023-12-04 14:15:54,066 p=14870 u=esi n=ansible | changed: [host-2]
2023-12-04 14:15:54,111 p=14870 u=esi n=ansible | PLAY [load-balancing] *******************************************************************************************************************************************************
2023-12-04 14:15:54,116 p=14870 u=esi n=ansible | TASK [Gathering Facts] ******************************************************************************************************************************************************
2023-12-04 14:16:00,032 p=14870 u=esi n=ansible | ok: [host-1]
2023-12-04 14:16:00,052 p=14870 u=esi n=ansible | TASK [load-balancer : Update Cache] *****************************************************************************************************************************************
2023-12-04 14:16:10,248 p=14870 u=esi n=ansible | changed: [host-1]
2023-12-04 14:16:10,261 p=14870 u=esi n=ansible | TASK [load-balancer : Installing Haproxy] ***********************************************************************************************************************************
2023-12-04 14:16:21,232 p=14870 u=esi n=ansible | changed: [host-1]
2023-12-04 14:16:21,241 p=14870 u=esi n=ansible | TASK [load-balancer : Copy the HAProyx Config files 1] **********************************************************************************************************************
2023-12-04 14:16:26,009 p=14870 u=esi n=ansible | changed: [host-1]
2023-12-04 14:16:26,022 p=14870 u=esi n=ansible | TASK [load-balancer : Start the HAProxy Service] ****************************************************************************************************************************
2023-12-04 14:16:28,611 p=14870 u=esi n=ansible | ok: [host-1]
2023-12-04 14:16:28,649 p=14870 u=esi n=ansible | PLAY RECAP ******************************************************************************************************************************************************************
2023-12-04 14:16:28,649 p=14870 u=esi n=ansible | host-1                     : ok=5    changed=3    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-12-04 14:16:28,649 p=14870 u=esi n=ansible | host-2                     : ok=14   changed=12   unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-12-04 17:18:14,927 p=40069 u=esi n=ansible | PLAY [wordpress deployment] *************************************************************************************************************************************************
2023-12-04 17:18:14,939 p=40069 u=esi n=ansible | TASK [Gathering Facts] ******************************************************************************************************************************************************
2023-12-04 17:18:21,681 p=40069 u=esi n=ansible | ok: [host-2]
2023-12-04 17:18:21,701 p=40069 u=esi n=ansible | TASK [role-0-initial-server : Install required system packages] *************************************************************************************************************
2023-12-04 17:19:02,680 p=40069 u=esi n=ansible | changed: [host-2]
2023-12-04 17:19:02,690 p=40069 u=esi n=ansible | TASK [role-0-initial-server : Add Docker GPG apt Key] ***********************************************************************************************************************
2023-12-04 17:19:06,450 p=40069 u=esi n=ansible | changed: [host-2]
2023-12-04 17:19:06,458 p=40069 u=esi n=ansible | TASK [role-0-initial-server : Add Docker Repository] ************************************************************************************************************************
2023-12-04 17:19:19,786 p=40069 u=esi n=ansible | changed: [host-2]
2023-12-04 17:19:19,793 p=40069 u=esi n=ansible | TASK [role-0-initial-server : Install docker] *******************************************************************************************************************************
2023-12-04 17:19:59,880 p=40069 u=esi n=ansible | changed: [host-2]
2023-12-04 17:19:59,887 p=40069 u=esi n=ansible | TASK [role-0-initial-server : Install Docker Module for Python] *************************************************************************************************************
2023-12-04 17:20:07,106 p=40069 u=esi n=ansible | changed: [host-2]
2023-12-04 17:20:07,146 p=40069 u=esi n=ansible | TASK [role-1-setup-mariadb : Copy docker-compose File] **********************************************************************************************************************
2023-12-04 17:20:42,139 p=40069 u=esi n=ansible | changed: [host-2]
2023-12-04 17:20:42,147 p=40069 u=esi n=ansible | TASK [role-1-setup-mariadb : Set Permission for Docker Daemon] **************************************************************************************************************
2023-12-04 17:20:44,379 p=40069 u=esi n=ansible | changed: [host-2]
2023-12-04 17:20:44,387 p=40069 u=esi n=ansible | TASK [role-1-setup-mariadb : Docker Compose up] *****************************************************************************************************************************
2023-12-04 17:21:01,739 p=40069 u=esi n=ansible | changed: [host-2]
2023-12-04 17:21:01,756 p=40069 u=esi n=ansible | TASK [role-2-setup-proxysql : Copy docker-compose File] *********************************************************************************************************************
2023-12-04 17:21:13,609 p=40069 u=esi n=ansible | changed: [host-2]
2023-12-04 17:21:13,617 p=40069 u=esi n=ansible | TASK [role-2-setup-proxysql : Docker Compose up] ****************************************************************************************************************************
2023-12-04 17:21:32,389 p=40069 u=esi n=ansible | changed: [host-2]
2023-12-04 17:21:32,404 p=40069 u=esi n=ansible | TASK [role-3-setup-wordpress : Copy docker-compose File] ********************************************************************************************************************
2023-12-04 17:21:42,051 p=40069 u=esi n=ansible | changed: [host-2]
2023-12-04 17:21:42,058 p=40069 u=esi n=ansible | TASK [role-3-setup-wordpress : Docker Compose up] ***************************************************************************************************************************
2023-12-04 17:22:10,097 p=40069 u=esi n=ansible | changed: [host-2]
2023-12-04 17:22:10,138 p=40069 u=esi n=ansible | PLAY [load-balancing] *******************************************************************************************************************************************************
2023-12-04 17:22:10,143 p=40069 u=esi n=ansible | TASK [Gathering Facts] ******************************************************************************************************************************************************
2023-12-04 17:22:16,369 p=40069 u=esi n=ansible | ok: [host-1]
2023-12-04 17:22:16,390 p=40069 u=esi n=ansible | TASK [role-4-setup-load-balancer : Update Cache] ****************************************************************************************************************************
2023-12-04 17:22:27,473 p=40069 u=esi n=ansible | changed: [host-1]
2023-12-04 17:22:27,481 p=40069 u=esi n=ansible | TASK [role-4-setup-load-balancer : Installing Haproxy] **********************************************************************************************************************
2023-12-04 17:22:39,525 p=40069 u=esi n=ansible | changed: [host-1]
2023-12-04 17:22:39,533 p=40069 u=esi n=ansible | TASK [role-4-setup-load-balancer : Copy the HAProyx Config files 1] *********************************************************************************************************
2023-12-04 17:22:44,664 p=40069 u=esi n=ansible | changed: [host-1]
2023-12-04 17:22:44,673 p=40069 u=esi n=ansible | TASK [role-4-setup-load-balancer : Start the HAProxy Service] ***************************************************************************************************************
2023-12-04 17:22:47,452 p=40069 u=esi n=ansible | changed: [host-1]
2023-12-04 17:22:47,511 p=40069 u=esi n=ansible | PLAY RECAP ******************************************************************************************************************************************************************
2023-12-04 17:22:47,511 p=40069 u=esi n=ansible | host-1                     : ok=5    changed=4    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-12-04 17:22:47,512 p=40069 u=esi n=ansible | host-2                     : ok=13   changed=12   unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
